PM Vidyalaxmi Institutes (All),,,,
(As on Date:  9-12-2025  4:33:26),,,,
S. No.,AISHE Code,Institute Name,State Name,Management Type
303,S-132,XLRI ñ Xavier School of Management,Jharkhand,Private
304,C-19320,A.B.Shetty Memorial Institute of Dental Sciences,Karnataka,Private
305,C-40354,Acharya & B M Reddy College of Pharmacy,Karnataka,Private
306,C-17415,"All India Institute of Speech and Hearing, Manasagangothri,Mysore",Karnataka,Central Government
307,U-0213,Alliance University,Karnataka,Private
308,U-0215,Bangalore University,Karnataka,State Government
309,C-40193,Bapuji Dental College & Hospital,Karnataka,Private
310,C-57952,BMS College of Architecture,Karnataka,Private
311,C-47256,"BMS School of Architecture, Yelahanka",Karnataka,Private
312,U-0216,"Central University of Karnataka, Gulbarga",Karnataka,Central Government
313,U-0217,Christ University,Karnataka,Private
314,U-0218,Davangere University,Karnataka,State Government
315,C-56942,EMPLOYEES STATE INSURANCE CORPORATION COLLEGE OF NURSING  GULBARGA,Karnataka,Central Government
316,C-53596,"ESIC College of Nursing, Bangalore",Karnataka,Central Government
317,C-59392,"ESIC DENTAL COLLEGE, GULBARGA",Karnataka,Central Government
318,C-47410,"ESIC MEDICAL COLLEGE ?È?·AND POST GRADUATE INSTITUTE OF MEDICAL SCINECES AND RESEARCH, Bangalore",Karnataka,Central Government
319,C-40178,"Government Dental College, Bangalore",Karnataka,State Government
320,U-1089,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RAICHUR,Karnataka,Central Government
321,U-0803,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DHARWAD",Karnataka,Central Government
322,U-1014,Indian Institute of Management Bangalore,Karnataka,Central Government
323,U-0220,"Indian Institute of Science, Bengaluru",Karnataka,Central Government
324,U-0899,"Indian Institute of Technology, Dharwad",Karnataka,Central Government
325,C-47329,"INSTITUTE OF AEROSPACE MEDICINE, BANGALORE",Karnataka,Central Government
326,U-0221,International Institute of Information Technology Bangalore,Karnataka,Private
327,U-0223,"Jain University, Bangalore",Karnataka,Private
328,U-0224,Jawaharlal Nehru Centre for Advanced Scientific Research,Karnataka,Central Government
329,U-0222,JSS Academy of Higher Education and Research,Karnataka,Private
330,C-35007,JSS College of Pharmacy,Karnataka,Private
331,C-35008,JSS Dental College and Hospital,Karnataka,Private
332,C-35009,"JSS Medical College, Mysore",Karnataka,Private
333,U-0230,Karnataka University,Karnataka,State Government
334,C-7251,"Kasturba Medical College, Mangalore",Karnataka,Private
335,C-7242,"Kasturba Medical College, Manipal",Karnataka,Private
336,C-24505,"KLE College of Pharmacy, Belgaum",Karnataka,Private
337,C-24504,KLE Vishwanath Katti Institute of Dental Sciences,Karnataka,Private
338,C-20653,Kristu Jayanti College,Karnataka,Private
339,C-40235,Krupanidhi College of Pharmacy,Karnataka,Private
340,U-0232,Kuvempu University,Karnataka,State Government
341,C-20729,"M S Ramaiah College of Arts, Science, and Commerce",Karnataka,Private
342,C-1331,M. S. Ramaiah Institute of Technology,Karnataka,Private
343,C-40345,M. S. Ramaiah Medical College,Karnataka,Private
344,U-0724,M.S. Ramaiah University of Applied Sciences,Karnataka,Private
345,U-0233,Mangalore University,Karnataka,State Government
346,U-0234,"Manipal Academy of Higher Education, Manipal",Karnataka,Private
347,C-7240,"Manipal College of Dental Sciences, Mangalore",Karnataka,Private
348,C-7254,"Manipal College of Dental Sciences, Manipal",Karnataka,Private
349,C-7249,"Manipal College of Pharmaceutical Sciences, Manipal",Karnataka,Private
350,C-7252,Manipal Institute of Technology,Karnataka,Private
351,C-46330,"Manipal School of Architecture and Planning, MAHE",Karnataka,Private
352,U-0235,Mysore University,Karnataka,State Government
353,C-19322,N.G.S.M. Institute of Pharmaceutical Sciences,Karnataka,Private
354,U-0236,"National Institute of Mental Health and Neuro Sciences, Bangalore",Karnataka,Central Government
355,U-0237,"National Institute of Technology Karnataka, Surathkal",Karnataka,Central Government
356,U-0238,National Law School of India University,Karnataka,State Government
357,U-0239,NITTE,Karnataka,Private
358,C-1269,R.V. College of Engineering,Karnataka,Private
359,C-63267,SDM College of Dental Sciences & Hospital,Karnataka,Private
360,C-1297,Siddaganga Institute of Technology,Karnataka,Private
361,C-40080,Sri Adichunchanagiri College of Pharmacy,Karnataka,Private
362,U-1337,St. Aloysius,Karnataka,Private
363,C-40453,St. John's Medical College,Karnataka,Private
364,C-21115,St. Joseph`s College of Commerce,Karnataka,Private
365,C-73986,"T. A. Pai Management Institute, Manipal",Karnataka,Private
366,U-0244,"Tumkur University, Tumkur",Karnataka,State Government
367,U-0246,University of Agricultural Sciences,Karnataka,State Government
368,U-0248,University of Agricultural Sciences,Karnataka,State Government
369,U-0249,Visvesvaraya Technological University,Karnataka,State Government
370,C-8528,Yenepoya Dental College,Karnataka,Private
371,U-0250,Yenepoya University,Karnataka,Private
